Дата,Эффективное энергопотребление,Ожидаемое энергопотребление,Разница в энергопотреблении (эффективная-ожидаемая),Интервал прогноза низкий,Интервал прогноза высокий,Набор данных обучения или прогнозирования,Эффективное скользящее среднее энергопотребления,Интервал прогноза - низкое скользящее среднее,Интервал прогноза с высоким скользящим средним
2012-01-06,4668085.0725,4611847.49808945,56237.5744105456,4389760.00313088,4830271.57238994,t,,,
2012-01-07,4001730.71,4075228.88393536,-73498.1739353579,3843769.73155302,4308826.31789874,t,,,
2012-01-08,3604748.4125,3770589.67333473,-165841.260834729,3549772.52043619,4010566.54442034,t,,,
2012-01-09,4681718.6425,4567744.39596087,113974.246539135,4349105.59466298,4790072.09602872,t,,,
2012-01-11,4769000.3775,4644624.36796447,124376.009535532,4421426.15859481,4875242.42580271,t,,,
2012-01-12,4790611.4225,4632854.83611405,157756.586385954,4410664.45881338,4861304.66854517,t,,,
2012-01-14,4074389.2725,4090734.31848717,-16345.0459871707,3878923.39063074,4305801.8051881,t,,,
2012-01-15,3654689.04,3789211.95876836,-134522.918768357,3564128.82868658,4011325.46747218,t,,,
2012-01-23,4717547.205,4549004.15992895,168543.045071049,4333796.76013002,4765842.6915396,t,,,
2012-01-26,4804302.87,4650041.29610208,154261.57389792,4410580.99463488,4887367.30342779,t,,,
2012-02-03,4681371.42,4839841.36819552,-158469.94819552,4620496.32264706,5062661.68732651,t,,,
2012-02-07,4990196.885,4910310.56516119,79886.3198388051,4679280.78253455,5147487.68781655,t,,,
2012-02-09,4827952.2575,4813471.21038269,14481.0471173059,4583729.4919219,5033952.27716128,t,,,
2012-02-10,4744694.415,4745526.22847523,-831.813475229777,4502483.47114148,4956341.66162679,t,,,
2012-02-11,4019466.585,4247431.29785306,-227964.712853058,4030456.01844416,4467416.6118777,t,,,
2012-02-24,4618254.4825,4396554.55493634,221699.927563663,4167788.60283414,4616048.50080008,t,,,
2012-02-25,4029944.15,3936986.7976637,92957.3523362968,3717697.75716657,4146795.8381146,t,,,
2012-02-28,4523564.1325,4429898.52596863,93665.6065313704,4207394.7741521,4648657.63177526,t,,,
2012-02-29,4431688.7425,4410423.5047303,21265.2377696997,4189443.84349321,4628770.70817702,t,,,
2012-03-06,4785702.27,4532619.21800426,253083.051995736,4298453.0653528,4757787.95142033,t,,,
2012-03-12,4731977.0725,4431568.63957035,300408.432929648,4221359.67819123,4665498.98687278,t,,,
2012-03-14,4776159.0,4489304.62455163,286854.375448373,4265411.6729727,4693510.97113984,t,,,
2012-03-17,3931053.3375,3948826.49496153,-17773.1574615277,3717656.64164435,4187266.55467435,t,,,
2012-03-22,4567332.9775,4474016.54975578,93316.4277442191,4226114.57099004,4691183.19442431,t,,,
2012-03-23,4505536.8875,4434972.67960161,70564.2078983923,4224462.46436779,4637911.43034771,t,,,
2012-03-24,3854117.8825,3904083.88046618,-49965.9979661754,3656354.70108502,4105012.02574232,t,,,
2012-03-25,3332862.3175,3554883.39002927,-222021.07252927,3343937.41702137,3774484.42146357,t,,,
2012-03-29,4528976.06,4437266.05542648,91710.004573524,4200899.94299633,4653231.99110732,t,,,
2012-04-06,3484896.1475,3652769.10209667,-167872.954596671,3424588.00036514,3859576.86311717,t,,,
2012-04-10,4370828.2775,4368466.0727173,2362.20478269737,4146758.12693515,4592413.98014339,t,,,
2012-04-12,4495724.445,4431235.93959904,64488.5054009631,4221471.18510655,4654493.42761689,t,,,
2012-04-13,4425537.59,4337439.39894341,88098.1910565924,4104111.83719049,4564684.29666994,t,,,
2012-04-17,4493732.665,4431583.8748616,62148.7901383964,4212327.80100945,4669170.87553023,t,,,
2012-04-19,4517027.1575,4500417.8634225,16609.294077496,4278509.44202532,4732820.4829989,t,,,
2012-04-26,4446787.145,4397031.01107527,49756.1339247283,4177170.63319669,4621494.79908118,t,,,
2012-04-27,4461537.28,4391239.10964632,70298.1703536827,4193788.76635078,4613130.25673737,t,,,
2012-04-28,3856225.9275,4040902.58661877,-184676.659118772,3817925.18739357,4275473.26534243,t,,,
2012-05-02,4483396.4825,4460488.89421209,22907.5882879086,4237458.37674439,4682840.45666197,t,,,
2012-05-03,4512834.255,4405231.47162302,107602.78337698,4182084.79026198,4639011.53079751,t,,,
2012-05-07,4411079.045,4385839.91195174,25239.1330482606,4163305.01629347,4603043.13100583,t,,,
2012-05-09,4596641.055,4527192.11635152,69448.9386484837,4304858.91436274,4760079.19602952,t,,,
2012-05-10,4655895.4175,4599425.13686069,56470.2806393132,4381119.35181243,4821954.31993503,t,,,
2012-05-11,4701656.4725,4686708.71457815,14947.7579218512,4477096.23808388,4922463.21345881,t,,,
2012-05-16,4357815.4875,4514918.9703319,-157103.482831902,4294572.25236042,4752455.99900483,t,,,
2012-05-17,3447051.21,3565884.65446304,-118833.444463039,3348902.76375072,3781013.71331929,t,,,
2012-05-18,4099986.285,4435717.62642203,-335731.341422032,4215400.63501512,4655610.54972661,t,,,
2012-05-19,3747170.655,3936716.33007912,-189545.675079125,3703219.00521484,4144422.7593783,t,,,
2012-05-20,3353998.275,3593155.54886099,-239157.273860988,3372247.71760588,3818706.34274856,t,,,
2012-05-22,4547198.7275,4431353.17027673,115845.557223273,4208051.07145765,4654158.72962763,t,,,
2012-05-25,4570206.0725,4429168.02157347,141038.050926528,4204162.14877608,4659840.92233524,t,,,
2012-05-27,3285188.0675,3410803.56659785,-125615.499097854,3189155.52965715,3641847.33557927,t,,,
2012-05-28,3474291.2425,3521687.86803684,-47396.6255368413,3307912.69253528,3736362.14669941,t,,,
2012-06-01,4622807.1575,4518489.92554088,104317.231959115,4308344.47645689,4729758.16807502,t,,,
2012-06-02,3865621.76,3873374.49645827,-7752.73645826615,3650639.16886099,4104248.40883218,t,,,
2012-06-04,4518657.1375,4414017.03164359,104640.105856412,4196852.48148801,4657466.04058526,t,,,
2012-06-05,4473616.9825,4387830.19740459,85786.7850954058,4158322.8385838,4610408.41808137,t,,,
2012-06-07,4727905.9825,4555111.14815865,172794.834341351,4337520.38175673,4774779.16774996,t,,,
2012-06-14,4562558.63,4382238.06437804,180320.56562196,4165665.18436871,4590268.57467072,t,,,
2012-06-18,4782884.5925,4599171.1705013,183713.421998698,4372110.90736052,4817247.64191801,t,,,
2012-06-21,4817064.8875,4566999.19547406,250065.692025938,4327829.29842559,4784265.77510114,t,,,
2012-06-23,3834969.27,3826603.94499698,8365.32500301581,3600103.06524636,4028328.75673791,t,,,
2012-06-24,3500127.255,3653656.30325746,-153529.048257458,3419228.02591517,3874024.69949931,t,,,
2012-06-26,4597280.74,4495311.08900292,101969.650997076,4259606.56180398,4704791.15383208,t,,,
2012-06-27,4771379.425,4628750.06437856,142629.360621441,4392195.34397497,4850786.10395089,t,,,
2012-06-29,4979836.86,4786309.69822512,193527.161774882,4573114.7312378,5012698.68441062,t,,,
2012-07-01,3636547.8375,3621742.50385338,14805.3336466164,3401345.97137986,3842808.17495213,t,,,
2012-07-06,4615818.7325,4420291.24125972,195527.49124028,4203377.19894699,4637744.52723474,t,,,
2012-07-10,4623453.5125,4407311.33225826,216142.180241738,4183519.62026579,4622024.5056194,t,,,
2012-07-15,3310734.4425,3487874.99999953,-177140.557499534,3273626.89591481,3730639.32249822,t,,,
2012-07-17,4420512.1875,4387312.52312454,33199.6643754635,4152617.37503977,4611923.66990747,t,,,
2012-07-23,4254481.28,4219636.85451068,34844.4254893251,4012819.12691862,4431566.00992439,t,,,
2012-07-24,4456195.685,4423912.13873176,32283.546268235,4188766.08664386,4651357.20141226,t,,,
